"","Rank","Name","Nation","Total Points","SP_rank","SP_score","FS_rank","FS_score","Year"
"1","1","Nathan Chen","United States","323.42","1","107.40","1","216.02",2019
"2","2","Yuzuru Hanyu","Japan","300.97","3","94.87","2","206.10",2019
"3","3","Vincent Zhou","United States","281.16","4","94.17","3","186.99",2019
"4","4","Shoma Uno","Japan","270.32","6","91.40","4","178.92",2019
"5","5","Jin Boyang","China","262.71","9","84.26","5","178.45",2019
"6","6","Mikhail Kolyada","Russia","262.44","10","84.23","6","178.21",2019
"7","7","Matteo Rizzo","Italy","257.66","5","93.37","10","164.29",2019
"8","8","Michal Březina","Czech Republic","254.28","8","86.96","8","167.32",2019
"9","9","Jason Brown","United States","254.15","2","96.81","14","157.34",2019
"10","10","Andrei Lazukin","Russia","248.74","11","84.05","9","164.69",2019
"11","1","Nathan Chen","United States","321.40","1","101.94","1","219.46",2018
"12","2","Shoma Uno","Japan","273.77","5","94.26","2","179.51",2018
"13","3","Mikhail Kolyada","Russia","272.32","2","100.08","4","172.24",2018
"14","4","Alexei Bychenko","Israel","258.28","7","90.99","7","167.29",2018
"15","5","Kazuki Tomono","Japan","256.11","11","82.61","3","173.50",2018
"16","6","Deniss Vasiļjevs","Latvia","254.86","9","84.25","5","170.61",2018
"17","7","Dmitri Aliev","Russia","252.30","13","82.15","6","170.15",2018
"18","8","Keegan Messing","Canada","252.30","6","93.00","11","159.30",2018
"19","9","Misha Ge","Uzbekistan","249.57","8","86.01","9","163.56",2018
"20","10","Michal Březina","Czech Republic","243.99","17","78.01","8","165.98",2018
"21","1","Yuzuru Hanyu","Japan","321.59","5","98.39","1","223.20",2017
"22","2","Shoma Uno","Japan","319.31","2","104.86","2","214.45",2017
"23","3","Jin Boyang","China","303.58","4","98.64","3","204.94",2017
"24","4","Javier Fernández","Spain","301.19","1","109.05","6","192.14",2017
"25","5","Patrick Chan","Canada","295.16","3","102.13","5","193.03",2017
"26","6","Nathan Chen","United States","290.72","6","97.33","4","193.39",2017
"27","7","Jason Brown","United States","269.57","8","93.10","7","176.47",2017
"28","8","Mikhail Kolyada","Russia","257.47","7","93.28","9","164.19",2017
"29","9","Kevin Reynolds","Canada","253.84","12","84.44","8","169.40",2017
"30","10","Alexei Bychenko","Israel","245.96","11","85.28","12","160.68",2017
"31","1","Javier Fernández","Spain","314.93","2","98.52","1","216.41",2016
"32","2","Yuzuru Hanyu","Japan","295.17","1","110.56","2","184.61",2016
"33","3","Jin Boyang","China","270.99","5","89.86","3","181.13",2016
"34","4","Mikhail Kolyada","Russia","267.97","6","89.66","5","178.31",2016
"35","5","Patrick Chan","Canada","266.75","3","94.84","8","171.91",2016
