"","V1","V2","V3","V4","V5","V6","year","discipline"
"8","FPl.","Name","Nat.","Points","SP","FS",2006,"men"
"9","1","PLUSHENKO Evgeni","&nbsp RUS","258.33","1","1",2006,"men"
"10","2","LAMBIEL Stephane","&nbsp SUI","231.21","3","4",2006,"men"
"11","3","BUTTLE Jeffrey","&nbsp CAN","227.59","6","2",2006,"men"
"12","4","LYSACEK Evan","&nbsp USA","220.13","10","3",2006,"men"
"13","5","WEIR Johnny","&nbsp USA","216.63","2","6",2006,"men"
"14","6","JOUBERT Brian","&nbsp FRA","212.89","4","7",2006,"men"
"15","7","SAVOIE Matthew","&nbsp USA","206.67","8","5",2006,"men"
"16","8","TAKAHASHI Daisuke","&nbsp JPN","204.89","5","9",2006,"men"
"17","9","VAN DER PERREN Kevin","&nbsp BEL","197.39","13","8",2006,"men"
"18","10","ZHANG Min","&nbsp CHN","196.27","11","11",2006,"men"
"19","11","KLIMKIN Ilia","&nbsp RUS","191.80","18","10",2006,"men"
"20","12","SAWYER Shawn","&nbsp CAN","190.83","12","12",2006,"men"
"21","13","SANDHU Emanuel","&nbsp CAN","190.24","7","14",2006,"men"
"22","14","CHIPER Gheorghe","&nbsp ROM","186.19","9","17",2006,"men"
"23","15","DAVYDOV Sergei","&nbsp BLR","184.59","14","16",2006,"men"
"24","16","LI Chengjiang","&nbsp CHN","182.21","21","13",2006,"men"
"25","17","DINEV Ivan","&nbsp BUL","180.11","15","18",2006,"men"
"26","18","VERNER Tomas","&nbsp CZE","180.07","22","15",2006,"men"
"27","19","DAMBIER Frederic","&nbsp FRA","177.59","19","19",2006,"men"
"28","20","KOVALEVSKI Anton","&nbsp UKR","172.84","16","21",2006,"men"
"29","21","LINDEMANN Stefan","&nbsp GER","172.57","20","20",2006,"men"
"30","22","PFEIFER Viktor","&nbsp AUT","163.87","17","23",2006,"men"
"31","23","BERNTSSON Kristoffer","&nbsp SWE","161.95","23","22",2006,"men"
"32","24","TOTH Zoltan","&nbsp HUN","145.47","24","24",2006,"men"
"33","25","ZELENKA Karel","&nbsp ITA","FNR","25","",2006,"men"
"34","26","ZIVANOVIC Trifun","&nbsp SCG","FNR","26","",2006,"men"
"35","27","OTHMAN Jamal","&nbsp SUI","FNR","27","",2006,"men"
"36","28","MURVANIDZE Vakhtang","&nbsp GEO","FNR","28","",2006,"men"
"37","29","URBAS Gregor","&nbsp SLO","FNR","29","",2006,"men"
"38","30","HAN Jong In","&nbsp PRK","FNR","30","",2006,"men"
"81","FPl.","Name","Nation","Points","SP","FS",2010,"men"
"91","1","LYSACEK Evan","USA","257.67","2","1",2010,"men"
"111","2","PLUSHENKO Evgeni","RUS","256.36","1","2",2010,"men"
"131","3","TAKAHASHI Daisuke","JPN","247.23","3","5",2010,"men"
"151","4","LAMBIEL Stephane","SUI","246.72","5","3",2010,"men"
"171","5","CHAN Patrick","CAN","241.42","7","4",2010,"men"
"191","6","WEIR Johnny","USA","238.87","6","6",2010,"men"
"211","7","ODA Nobunari","JPN","238.54","4","7",2010,"men"
"231","8","KOZUKA Takahiko","JPN","231.19","8","8",2010,"men"
"251","9","ABBOTT Jeremy","USA","218.96","15","9",2010,"men"
"271","10","BREZINA Michal","CZE","216.73","9","11",2010,"men"
