"","V1","V2","V3","V4","V5","V6","year","discipline"
"8","FPl.","Name","Nation","Points","SP","FS",2010,"ladies"
"9","1","KIM Yu-Na","KOR","228.56","1","1",2010,"ladies"
"11","2","ASADA Mao","JPN","205.50","2","2",2010,"ladies"
"13","3","ROCHETTE Joannie","CAN","202.64","3","3",2010,"ladies"
"15","4","NAGASU Mirai","USA","190.15","6","5",2010,"ladies"
"17","5","ANDO Miki","JPN","188.86","4","6",2010,"ladies"
"19","6","LEPISTO Laura","FIN","187.97","10","4",2010,"ladies"
"21","7","FLATT Rachael","USA","182.49","5","8",2010,"ladies"
"23","8","SUZUKI Akiko","JPN","181.44","11","7",2010,"ladies"
"25","9","LEONOVA Alena","RUS","172.46","8","10",2010,"ladies"
"27","10","MAKAROVA Ksenia","RUS","171.91","12","9",2010,"ladies"
"29","11","KORPI Kiira","FIN","161.57","17","11",2010,"ladies"
"31","12","PHANEUF Cynthia","CAN","156.62","14","13",2010,"ladies"
"33","13","KWAK Min-Jung","KOR","155.53","16","12",2010,"ladies"
"35","14","GEDEVANISHVILI Elene","GEO","155.24","9","17",2010,"ladies"
"37","15","MEIER Sarah","SUI","152.81","15","14",2010,"ladies"
"39","16","KOSTNER Carolina","ITA","151.90","7","19",2010,"ladies"
"41","17","SEBESTYEN Julia","HUN","151.26","13","16",2010,"ladies"
"43","18","HECKEN Sarah","GER","143.94","23","15",2010,"ladies"
"45","19","LIU Yan","CHN","143.47","19","18",2010,"ladies"
"47","20","LEE Cheltzie","AUS","138.16","18","20",2010,"ladies"
"49","21","GLEBOVA Elena","EST","134.19","20","22",2010,"ladies"
"51","22","LAFUENTE Sonia","ESP","133.51","22","21",2010,"ladies"
"53","23","GIMAZETDINOVA Anastasia","UZB","131.65","24","23",2010,"ladies"
"55","24","KARADEMIR Tugba","TUR","129.54","21","24",2010,"ladies"
"57","25","PIEMAN Isabelle","BEL","FNR","25","",2010,"ladies"
"59","26","ZIEGLER Miriam","AUT","FNR","26","",2010,"ladies"
"61","27","POSTIC Teodora","SLO","FNR","27","",2010,"ladies"
"63","28","REITMAYEROVA Ivana","SVK","FNR","28","",2010,"ladies"
"65","29","McCORKELL Jenna","GBR","FNR","29","",2010,"ladies"
"67","30","JURKIEWICZ Anna","POL","FNR","30","",2010,"ladies"
"81","FPl.","Name","Nation","Points","SP","FS",2014,"ladies"
"91","1","SOTNIKOVA Adelina","RUS","224.59","2","1",2014,"ladies"
"111","2","KIM Yuna","KOR","219.11","1","2",2014,"ladies"
"131","3","KOSTNER Carolina","ITA","216.73","3","4",2014,"ladies"
"151","4","GOLD Gracie","USA","205.53","4","5",2014,"ladies"
"171","5","LIPNITSKAYA Yulia","RUS","200.57","5","6",2014,"ladies"
"191","6","ASADA Mao","JPN","198.22","16","3",2014,"ladies"
"211","7","WAGNER Ashley","USA","193.20","6","7",2014,"ladies"
"231","8","SUZUKI Akiko","JPN","186.32","8","8",2014,"ladies"
"251","9","EDMUNDS Polina","USA","183.25","7","9",2014,"ladies"
"271","10","MEITE Mae Berenice","FRA","174.53","9","11",2014,"ladies"
"291","11","MARCHEI Valentina","ITA","173.33","12","10",2014,"ladies"
"311","12","MURAKAMI Kanako","JPN","170.98","15","12",2014,"ladies"
"331","13","OSMOND Kaetlyn","CAN","168.98","13","13",2014,"ladies"
"351","14","LI Zijun","CHN","168.30","11","14",2014,"ladies"
"371","15","ZHANG Kexin","CHN","154.21","14","15",2014,"ladies"
"391","16","KIM Haejin","KOR","149.48","18","17",2014,"ladies"
"411","17","DALEMAN Gabrielle","CAN","148.44","19","16",2014,"ladies"
"431","18","WEINZIERL Nathalie","GER","147.36","10","21",2014,"ladies"
"451","19","GEDEVANISHVILI Elene","GEO","147.15","17","20",2014,"ladies"
"471","20","HAN Brooklee","AUS","143.84","22","18",2014,"ladies"
"491","21","PARK So Youn","KOR","142.97","23","19",2014,"ladies"
"511","22","UKOLOVA Elizaveta","CZE","136.42","20","23",2014,"ladies"
"531","23","GJERSEM Anne Line","NOR","134.54","24","22",2014,"ladies"
"551","24","RAJICOVA Nicole","SVK","125.00","21","24",2014,"ladies"
"571","25","McCORKELL Jenna","GBR","FNR","25","",2014,"ladies"
"591","26","FRANK Kerstin","AUT","FNR","26","",2014,"ladies"
"611","27","HELGESSON Viktoria","SWE","FNR","27","",2014,"ladies"
"631","28","POPOVA Natalia","UKR","FNR","28","",2014,"ladies"
"651","29","GLEBOVA Elena","EST","FNR","29","",2014,"ladies"
"671","30","WILLIAMS Isadora","BRA","FNR","30","",2014,"ladies"
"82","FPl.","Name","Nation","Points","SP","FS",2018,"ladies"
"92","1","ZAGITOVA Alina","OAR","239.57","1","2",2018,"ladies"
"112","2","MEDVEDEVA Evgenia","OAR","238.26","2","1",2018,"ladies"
"132","3","OSMOND Kaetlyn","CAN","231.02","3","3",2018,"ladies"
"152","4","MIYAHARA Satoko","JPN","222.38","4","4",2018,"ladies"
"172","5","KOSTNER Carolina","ITA","212.44","6","5",2018,"ladies"
"192","6","SAKAMOTO Kaori","JPN","209.71","5","6",2018,"ladies"
"212","7","CHOI Dabin","KOR","199.26","8","8",2018,"ladies"
"232","8","SOTSKOVA Maria","OAR","198.10","12","7",2018,"ladies"
"252","9","TENNELL Bradie","USA","192.35","11","9",2018,"ladies"
"272","10","NAGASU Mirai","USA","186.54","9","12",2018,"ladies"
"292","11","CHEN Karen","USA","185.65","10","11",2018,"ladies"
"312","12","TURSYNBAEVA Elizabet","KAZ","177.12","15","13",2018,"ladies"
"332","13","KIM Hanul","KOR","175.71","21","10",2018,"ladies"
"352","14","RAJICOVA Nicole","SVK","175.19","13","15",2018,"ladies"
"372","15","DALEMAN Gabrielle","CAN","172.46","7","19",2018,"ladies"
"392","16","HENDRICKX Loena","BEL","171.88","20","14",2018,"ladies"
"412","17","CRAINE Kailani","AUS","168.61","16","16",2018,"ladies"
"432","18","SCHOTT Nicole","GER","168.46","14","17",2018,"ladies"
"452","19","MEITE Mae Berenice","FRA","159.92","22","18",2018,"ladies"
"472","20","PELTONEN Emmi","FIN","157.14","18","21",2018,"ladies"
"492","21","PAGANINI Alexia","SUI","156.26","19","22",2018,"ladies"
"512","22","LI Xiangning","CHN","154.43","24","20",2018,"ladies"
"532","23","TOTH Ivett","HUN","150.43","23","23",2018,"ladies"
"552","24","WILLIAMS Isadora","BRA","144.18","17","24",2018,"ladies"
"572","","AUSTMAN Larkyn","CAN","FNR","25","",2018,"ladies"
"592","","NIKITINA Diana","LAT","FNR","26","",2018,"ladies"
"612","","RUSSO Giada","ITA","FNR","27","",2018,"ladies"
"632","","OESTLUND Anita","SWE","FNR","28","",2018,"ladies"
"652","","KHNYCHENKOVA Anna","UKR","FNR","29","",2018,"ladies"
"672","","MAMBEKOVA Aiza","KAZ","FNR","30","",2018,"ladies"
