"","Rank","Name","Nation","Total Points","SP_rank","SP_score","FS_rank","FS_score","Year","Host","Discipline"
"1","1","Nathan Chen","United States","323.42","1","107.40","1","216.02",2019,"Japan","Men"
"2","2","Yuzuru Hanyu","Japan","300.97","3","94.87","2","206.10",2019,"Japan","Men"
"3","3","Vincent Zhou","United States","281.16","4","94.17","3","186.99",2019,"Japan","Men"
"4","4","Shoma Uno","Japan","270.32","6","91.40","4","178.92",2019,"Japan","Men"
"5","5","Jin Boyang","China","262.71","9","84.26","5","178.45",2019,"Japan","Men"
"6","6","Mikhail Kolyada","Russia","262.44","10","84.23","6","178.21",2019,"Japan","Men"
"7","7","Matteo Rizzo","Italy","257.66","5","93.37","10","164.29",2019,"Japan","Men"
"8","8","Michal Březina","Czech Republic","254.28","8","86.96","8","167.32",2019,"Japan","Men"
"9","9","Jason Brown","United States","254.15","2","96.81","14","157.34",2019,"Japan","Men"
"10","10","Andrei Lazukin","Russia","248.74","11","84.05","9","164.69",2019,"Japan","Men"
"11","11","Kévin Aymoz","France","247.47","7","88.24","12","159.23",2019,"Japan","Men"
"12","12","Alexander Samarin","Russia","246.33","20","78.38","7","167.95",2019,"Japan","Men"
"13","13","Morisi Kvitelashvili","Georgia","240.74","12","82.67","13","158.07",2019,"Japan","Men"
"14","14","Keiji Tanaka","Japan","238.40","19","78.76","11","159.64",2019,"Japan","Men"
"15","15","Keegan Messing","Canada","237.64","14","82.38","15","155.26",2019,"Japan","Men"
"16","16","Nam Nguyen","Canada","237.27","13","82.51","16","154.76",2019,"Japan","Men"
"17","17","Vladimir Litvintsev","Azerbaijan","230.84","16","81.46","19","149.38",2019,"Japan","Men"
"18","18","Alexander Majorov","Sweden","229.72","17","79.17","17","150.55",2019,"Japan","Men"
"19","19","Cha Jun-hwan","South Korea","229.26","18","79.17","18","150.09",2019,"Japan","Men"
"20","20","Brendan Kerry","Australia","222.02","21","78.26","21","143.76",2019,"Japan","Men"
"21","21","Deniss Vasiļjevs","Latvia","218.52","23","74.74","20","143.78",2019,"Japan","Men"
"22","22","Oleksii Bychenko","Israel","216.60","22","77.67","22","138.93",2019,"Japan","Men"
"23","23","Julian Zhi Jie Yee","Malaysia","205.97","24","73.63","23","132.34",2019,"Japan","Men"
"24","24","Daniel Samohin","Israel","205.28","15","82.00","24","123.28",2019,"Japan","Men"
"25","1","Nathan Chen","United States","321.40","1","101.94","1","219.46",2018,"Italy","Men"
"26","2","Shoma Uno","Japan","273.77","5","94.26","2","179.51",2018,"Italy","Men"
"27","3","Mikhail Kolyada","Russia","272.32","2","100.08","4","172.24",2018,"Italy","Men"
"28","4","Alexei Bychenko","Israel","258.28","7","90.99","7","167.29",2018,"Italy","Men"
"29","5","Kazuki Tomono","Japan","256.11","11","82.61","3","173.50",2018,"Italy","Men"
"30","6","Deniss Vasiļjevs","Latvia","254.86","9","84.25","5","170.61",2018,"Italy","Men"
"31","7","Dmitri Aliev","Russia","252.30","13","82.15","6","170.15",2018,"Italy","Men"
"32","8","Keegan Messing","Canada","252.30","6","93.00","11","159.30",2018,"Italy","Men"
"33","9","Misha Ge","Uzbekistan","249.57","8","86.01","9","163.56",2018,"Italy","Men"
"34","10","Michal Březina","Czech Republic","243.99","17","78.01","8","165.98",2018,"Italy","Men"
