"","Rank","Name","Nation","Total Points","SP_rank","SP_score","FS_rank","FS_score","Year","Host"
"1","1","Sui Wenjing / Han Cong","China","234.84","2","79.24","1","155.6",2019,"Japan"
"2","2","Evgenia Tarasova / Vladimir Morozov","Russia","228.47","1","81.21","2","147.26",2019,"Japan"
"3","3","Natalia Zabiiako / Alexander Enbert","Russia","217.81","4","73.96","4","144.02",2019,"Japan"
"4","4","Peng Cheng / Jin Yang","China","215.84","3","75.51","5","140.33",2019,"Japan"
"5","5","Vanessa James / Morgan Ciprès","France","215.19","7","68.67","3","146.52",2019,"Japan"
"6","6","Aleksandra Boikova / Dmitrii Kozlovskii","Russia","210.3","6","69.99","6","140.31",2019,"Japan"
"7","7","Kirsten Moore-Towers / Michael Marinaro","Canada","200.02","5","73.08","8","126.94",2019,"Japan"
"8","8","Nicole Della Monica / Matteo Guarise","Italy","195.74","8","67.29","7","128.45",2019,"Japan"
"9","9","Ashley Cain / Timothy LeDuc","United States","193.81","9","66.93","9","126.88",2019,"Japan"
"10","10","Miriam Ziegler / Severin Kiefer","Austria","178.66","11","63.65","11","115.01",2019,"Japan"
"11","11","Ryom Tae-ok / Kim Ju-sik","North Korea","175.31","13","58.77","10","116.54",2019,"Japan"
"12","12","Evelyn Walsh / Trennt Michaud","Canada","174.4","12","59.84","12","114.56",2019,"Japan"
"13","13","Minerva Fabienne Hase / Nolan Seegert","Germany","174.04","10","64.28","14","109.76",2019,"Japan"
"14","14","Annika Hocke / Ruben Blommaert","Germany","166.36","16","53.16","13","113.2",2019,"Japan"
"15","15","Laura Barquero / Aritz Maestu","Spain","162.27","14","55.58","15","106.69",2019,"Japan"
"16","16","Lana Petranović / Antonio Souza-Kordeiru","Croatia","153.99","15","53.7","17","100.29",2019,"Japan"
"17","1","Aliona Savchenko / Bruno Massot","Germany","245.84","1","82.98","1","162.86",2018,"Italy"
"18","2","Evgenia Tarasova / Vladimir Morozov","Russia","225.53","2","81.29","2","144.24",2018,"Italy"
"19","3","Vanessa James / Morgan Ciprès","France","218.36","3","75.32","3","143.04",2018,"Italy"
"20","4","Natalya Zabiyako / Alexander Enbert","Russia","207.88","4","74.38","6","133.50",2018,"Italy"
"21","5","Nicole Della Monica / Matteo Guarise","Italy","206.06","5","72.53","5","133.53",2018,"Italy"
"22","6","Kirsten Moore-Towers / Michael Marinaro","Canada","204.33","10","70.49","4","133.84",2018,"Italy"
"23","7","Yu Xiaoyu / Zhang Hao","China","203.36","9","71.31","7","132.05",2018,"Italy"
"24","8","Kristina Astakhova / Alexei Rogonov","Russia","202.16","7","71.62","9","130.54",2018,"Italy"
"25","9","Peng Cheng / Jin Yang","China","202.07","6","71.98","10","130.09",2018,"Italy"
"26","10","Valentina Marchei / Ondřej Hotárek","Italy","202.02","8","71.37","8","130.65",2018,"Italy"
"27","11","Anna Dušková / Martin Bidař","Czech Republic","189.60","13","66.29","11","123.31",2018,"Italy"
"28","12","Ryom Tae-ok / Kim Ju-sik","North Korea","188.77","12","66.32","12","122.45",2018,"Italy"
"29","13","Annika Hocke / Ruben Blommaert","Germany","184.83","16","63.26","13","121.57",2018,"Italy"
"30","14","Miriam Ziegler / Severin Kiefer","Austria","184.30","14","65.21","14","119.09",2018,"Italy"
"31","15","Alexa Scimeca Knierim / Chris Knierim","United States","182.04","11","69.55","15","112.49",2018,"Italy"
"32","16","Ekaterina Alexandrovskaya / Harley Windsor","Australia","177.46","15","65.02","16","112.44",2018,"Italy"
